# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11992
#@/user_id	Family-Windows11
a 	啊	c=124 d=2.86226 t=11992
ren duo bu 	人多部	c=1 d=1 t=9148
ren he 	任何	c=1 d=1 t=11548
ren hen 	人很	c=0 d=0.1 t=1636
ren hen duo 	人很多	c=1 d=1 t=1637
ren jia 	人家	c=1 d=1 t=3654
ren min bi 	人民幣	c=1 d=1 t=3587
ren ne 	人呢	c=5 d=1.00007 t=9261
ren shi 	人事	c=3 d=1 t=11819
ren shi 	認識	c=1 d=0.167206 t=3573
ren shi de 	認識的	c=1 d=0.100002 t=6250
ren shuo 	人說	c=0 d=0.1 t=4648
ren tai duo 	人太多	c=0 d=0.1 t=969
ren wen 	人文	c=2 d=1.96079 t=10243
ren wu 	任務	c=4 d=0.260341 t=3260
ren wu lie biao 	任務列表	c=1 d=1 t=4903
ren xiao bo 	任小波	c=2 d=1.48919 t=10128
ren xing 	人性	c=1 d=1 t=9880
ren xuan 	任選	c=1 d=0.865022 t=11992
ren yan 	任岩	c=8 d=1.0429 t=11480
ren yan shuo 	任岩說	c=1 d=1 t=6927
ren yuan 	人員	c=1 d=1 t=7794
ren zheng 	認證	c=0 d=0.00314297 t=11992
ren zheng ji shu 	認證技術	c=1 d=0.0315873 t=11992
ren zong 	任總	c=28 d=2.47849 t=11822
ri bao 	日報	c=0 d=0.1 t=569
ri zhi 	日誌	c=3 d=0.00173355 t=11992
rm 	rm -r	c=17 d=1 t=11862
rong liang 	容量	c=0 d=0.00129068 t=11992
rong qi 	容器	c=2 d=1 t=10801
rong shen 	容身	c=1 d=1 t=1423
rou 	揉	c=0 d=0.1 t=6525
rou rou de 	肉肉的	c=1 d=1 t=11815
rou se 	肉色	c=1 d=1 t=6315
rou zai yi qi 	揉在一起	c=1 d=1 t=6526
ru du 	入度	c=1 d=0.923117 t=11992
ru guo 	如果	c=3 d=1.07105 t=11992
ru guo shi 	如果是	c=3 d=1.92774 t=2773
ru he 	如何	c=4 d=1.00399 t=8808
ruan 	軟	c=0 d=0.1 t=2114
ruan jian 	軟件	c=4 d=0.16986 t=11992
ruan kao 	軟考	c=4 d=1.02401 t=7307
ruan tong dong li 	軟通動力	c=1 d=1 t=2115
rui 	瑞	c=1 d=1 t=7169
rui wen 	瑞雯	c=1 d=1 t=10700
ruo 	蒻	c=0 d=0.1 t=11424
ruo lian jie 	蒻连接	c=1 d=1 t=11425
rz 	rz -be	c=2 d=1.00012 t=6588
sa 	撒	c=29 d=0.773828 t=11992
sa shi hou 	撒時候	c=1 d=1 t=5689
sai 	噻	c=2 d=1.00001 t=11437
sai 	賽	c=1 d=1 t=8031
san 	三	c=14 d=1.1133 t=10616
san dian 	三點	c=1 d=1 t=8516
san fang 	三房	c=1 d=0.1282 t=5601
san ge 	三個	c=4 d=1.15724 t=8908
san ge ren 	三個人	c=3 d=1.00001 t=3552
san ren 	三人	c=7 d=1.00883 t=10842
san tian 	三天	c=1 d=1 t=11759
san xia 	三峽	c=2 d=1.0031 t=6594
san zhong 	三種	c=0 d=0.1 t=3085
san zhou 	三週	c=1 d=1 t=9459
sang zi 	嗓子	c=0 d=0.1 t=4941
se 	色	c=1 d=1 t=6976
se qing pian 	色情片	c=1 d=0.0278757 t=11992
sha 	啥	c=10 d=0.671084 t=11992
sha dou bu xuan 	啥都不選	c=1 d=1 t=176
sha dou mei 	啥都沒	c=2 d=0.1 t=10813
sha dou mei gei 	啥都沒給	c=1 d=1 t=10814
sha dou yao zuo 	啥都要做	c=1 d=1 t=10366
sha fa 	沙發	c=1 d=0.0285814 t=11992
sha gong zuo 	啥工作	c=2 d=1.00006 t=7629
sha guan xi 	啥关系	c=1 d=1 t=11331
sha hao chi de 	啥好吃的	c=1 d=0.831104 t=11992
sha jiao 	啥叫	c=1 d=1 t=11767
sha qing kuang 	啥情況	c=3 d=0.0533971 t=11992
sha yang 	啥樣	c=1 d=1 t=4646
sha yao qiu 	啥要求	c=1 d=1 t=5440
sha yi si 	啥意思	c=1 d=1 t=6030
sha yuan yin 	啥原因	c=1 d=1 t=8588
sha zi 	啥子	c=5 d=0.128732 t=11992
shai 	曬	c=0 d=0.1 t=7577
shai tai yang 	曬太陽	c=1 d=1 t=2505
shai xia 	曬下	c=1 d=1 t=11325
shai xuan 	篩選	c=2 d=1.07136 t=2310
shan 	刪	c=3 d=0.21271 t=11992
shan 	山	c=1 d=0.106992 t=11992
shan chang 	擅長	c=1 d=1 t=11204
shan chu 	刪除	c=1 d=0.0667887 t=11992
shan ku 	刪庫	c=1 d=1 t=2566
shan le 	刪了	c=1 d=0.00788664 t=11992
shang 	上	c=3 d=1.32701 t=9894
shang ban 	上班	c=2 d=1.39455 t=9326
shang ban nian 	上半年	c=2 d=1.99005 t=6351
shang cheng 	商城	c=1 d=1 t=9671
shang chuan 	上傳	c=3 d=1 t=8737
shang ci 	上次	c=3 d=1.00636 t=9002
shang ci 	賞賜	c=1 d=1 t=2858
shang ci fa ban ni bu shi 	上次發版你不是	c=1 d=1 t=8452
shang dai 	商代	c=1 d=1 t=3735
shang dian 	商店	c=3 d=1.42046 t=9942
shang hai 	上海	c=1 d=1 t=11985
shang hui 	上會	c=5 d=0.465334 t=11992
shang hui shi 	上會使	c=1 d=1 t=3015
shang huo 	上火	c=0 d=0.1 t=7582
shang jiang 	上將	c=0 d=0.1 t=2869
shang le 	上了	c=1 d=0.679842 t=8729
shang le ge 	上了個	c=1 d=1 t=8730
shang liang 	商量	c=0 d=0.1 t=6132
shang liang yi xia 	商量一下	c=1 d=1 t=6133
shang men 	上門	c=6 d=1.27017 t=10744
shang mian 	上面	c=2 d=0.1 t=9782
shang mian de 	上面的	c=1 d=1 t=9783
shang qu 	上去	c=0 d=0.1 t=2809
shang wu 	上午	c=1 d=1 t=7270
shang xia 	上下	c=0 d=0.1 t=11898
shang xia xian ji lu 	上下先記錄	c=1 d=1 t=11899
shang xian 	上線	c=5 d=0.56686 t=8344
shang yi 	上一	c=0 d=0.1 t=975
shang yi bu 	上一步	c=4 d=1 t=8585
shang zhou 	上周	c=5 d=1.45158 t=10153
shang zhou wu 	上週五	c=1 d=1 t=10513
shao 	少	c=7 d=1.16773 t=10382
shao chi 	少吃	c=2 d=1.00295 t=8883
shao chou yan 	少抽菸	c=1 d=1 t=5104
shao deng 	稍等	c=2 d=1.00042 t=4597
shao shua dian 	少刷點	c=1 d=1 t=4334
shao wei 	稍微	c=3 d=1.09609 t=7911
shao wei deng deng 	稍微等等	c=1 d=1 t=7904
shao zi 	勺子	c=1 d=1 t=11870
she 	設	c=0 d=0.1 t=6985
she bei 	設備	c=13 d=1.10352 t=11898
she bei jian kong 	設備監控	c=1 d=1 t=11743
she bei jian kong 	設備鍵控	c=1 d=1 t=9717
she bu de 	捨不得	c=1 d=1.05434 t=10484
she ji 	設計	c=4 d=0.0957845 t=11992
she ji bao 	設計包	c=1 d=1 t=8978
she ji guo cheng 	設計過程	c=1 d=0.0135009 t=11992
she me 	什麼	c=1 d=0.1054 t=11992
she ni yi lian 	設你一聯	c=1 d=1 t=6986
she qu 	社區	c=1 d=1.0865 t=860
she qu de 	社區的	c=1 d=1 t=832
she zhi 	設置	c=20 d=1 t=11044
she zhi le 	設置了	c=1 d=0.100002 t=6703
shei 	誰	c=3 d=1 t=10508
shei la jin lai 	誰拉進來	c=1 d=1 t=2800
shei zai 	誰在	c=1 d=0.210251 t=10523
shei zai dian 	誰在點	c=1 d=1 t=10524
shei zhi 	誰知	c=0 d=0.1 t=848
shei zhi dao ne 	誰知到呢	c=1 d=1 t=849
shen fen zheng 	身份證	c=2 d=1.99501 t=1332
shen he 	審核	c=40 d=1.66232 t=11230
shen he bu tong guo 	審核不通過	c=7 d=1 t=9914
shen he tong guo 	審核通過	c=2 d=1 t=7238
shen he zhong 	審核中	c=6 d=1.10608 t=6456
shen lan 	深藍	c=1 d=1 t=11258
shen me 	什麼	c=22 d=0.814984 t=11992
shen me de 	什麼的	c=16 d=1.0075 t=10877
shen pi 	審批	c=0 d=0.1 t=7165
shen pi bu tong guo 	審批不通過	c=2 d=1.99501 t=7167
shen qing 	申請	c=8 d=1.09851 t=6168
shen qing bu liao 	申請不了	c=1 d=1 t=1204
shen qing xia lai 	申請下來	c=1 d=1 t=6166
sheng 	省	c=1 d=1 t=5695
sheng chan 	生產	c=9 d=0.00142642 t=11992
sheng chan huan jing 	生產環境	c=1 d=0.0143357 t=11992
sheng chan ni fa 	生產你發	c=1 d=1 t=3043
sheng cheng 	生成	c=1 d=1 t=11006
sheng hai zi 	生孩子	c=1 d=1 t=3379
sheng huo 	生活	c=1 d=0.0434997 t=11992
sheng ji 	升級	c=1 d=1 t=8748
sheng tai 	生態	c=1 d=1 t=3521
sheng wen 	升溫	c=0 d=0.1 t=587
sheng wen le 	升溫了	c=1 d=1 t=588
sheng xiao 	生效	c=1 d=0.203505 t=1162
sheng yi 	生意	c=0 d=0.1 t=7088
sheng yin 	聲音	c=1 d=0.1001 t=5121
sheng yin xiao dian 	聲音小點	c=1 d=1 t=5122
sheng zhe 	省這	c=1 d=1 t=10359
shi 	事	c=1 d=1 t=5343
shi 	失	c=1 d=1 t=10195
shi 	始	c=0 d=0.1 t=4943
shi 	實	c=1 d=1 t=2011
shi 	師	c=1 d=1 t=6599
shi 	是	c=122 d=2.42534 t=11992
shi 	時	c=2 d=1.99501 t=4180
shi 	試	c=2 d=1.66365 t=2531
shi a han 	是阿含	c=1 d=1 t=7431
shi ba 	是吧	c=2 d=1 t=9547
shi ba 	石壩	c=0 d=0.1 t=2950
shi bai 	失敗	c=6 d=1.09311 t=8586
shi bai le 	失敗了	c=1 d=1 t=4358
shi bie 	識別	c=1 d=1 t=239
shi bu 	十部	c=1 d=1 t=2849
shi bu 	是不	c=9 d=1.00052 t=11903
shi bu ke neng de 	是不可能的	c=1 d=1 t=7925
shi bu shi 	是不是	c=17 d=0.480653 t=11992
shi de 	是的	c=39 d=0.583683 t=11992
shi di 	實地	c=1 d=1 t=1107
shi dian 	十點	c=0 d=0.1 t=8053
shi dian dao 	十點到	c=1 d=1 t=8054
shi duo shao 	是多少	c=1 d=0.0145523 t=11992
shi er 	拾貳	c=1 d=1 t=5525
shi fou 	是否	c=4 d=1.3829 t=10996
shi ge 	是個	c=0 d=0.1 t=10170
shi ge 	時隔	c=1 d=1 t=10170
shi ge hao dong xi 	是個好東西	c=1 d=1 t=10171
shi ge wen ti 	是個問題	c=1 d=1 t=746
shi hao jiu 	是好久	c=2 d=1.00011 t=8176
shi he 	適合	c=1 d=0.536049 t=10230
shi he ni 	適合你	c=1 d=1 t=10231
shi hou 	時候	c=11 d=0.613891 t=11992
shi hou 	時後	c=1 d=0.12493 t=11992
shi ji 	實際	c=1 d=1 t=3905
shi ji er shi 	十幾二十	c=0 d=0.1 t=4062
shi ji er shi nian 	十幾二十年	c=1 d=1 t=4063
shi ji ge 	十幾個	c=0 d=0.1 t=778
shi jian 	時間	c=19 d=0.745413 t=11992
shi jie 	世界	c=1 d=1.04176 t=1433
shi le 	試了	c=0 d=0.198511 t=4367
shi le yi xia 	試了一下	c=1 d=1 t=4365
shi mao 	時髦	c=0 d=0.1 t=9493
shi me 	是麼	c=1 d=1 t=776
shi mei shi 	是沒事	c=1 d=1 t=5506
shi na ge 	是哪個	c=2 d=1.00712 t=11347
shi pin 	視頻	c=3 d=0.76338 t=11992
shi qi 	時期	c=1 d=1 t=5975
shi qing 	事情	c=1 d=1 t=11429
shi qing zuo 	事情做	c=1 d=1 t=4609
shi sha 	是啥	c=4 d=1 t=10069
shi shei 	是誰	c=3 d=1 t=11783
shi shen me 	是什麼	c=2 d=1.2739 t=2650
shi shi 	試試	c=15 d=1.02961 t=8467
shi shi qi ta 	試試其他	c=1 d=1 t=5319
shi ta na bian 	是他那邊	c=1 d=1 t=10684
shi wan 	十萬	c=0 d=0.1 t=762
shi wo 	是我	c=1 d=1 t=6609
shi wo men 	是我們	c=1 d=1 t=4057
shi wu 	失誤	c=2 d=0.295346 t=11992
shi xia 	試下	c=2 d=0.1 t=6289
shi xian 	失陷	c=4 d=2.43963 t=10543
shi xian 	實現	c=1 d=1 t=1917
shi xiao 	失效	c=1 d=1 t=1989
shi ya 	是呀	c=1 d=1 t=4487
shi yao 	是要	c=3 d=1.00208 t=11062
shi ye 	失業	c=1 d=1 t=858
shi ye 	視野	c=0 d=0.1 t=925
shi ye kai kuo 	視野開闊	c=1 d=1 t=926
shi yi dian ban 	十一點半	c=1 d=1 t=9495
shi yi shi 	試一試	c=1 d=1 t=2511
shi yi xia 	試一下	c=4 d=0.0558548 t=11992
shi yi zhong 	是一種	c=0 d=0.1 t=10635
shi yi zhong cheng zhang 	是一種成長	c=1 d=1 t=10636
shi yong 	使用	c=6 d=1 t=11257
shi yong 	是用	c=1 d=1 t=113
shi you 	時有	c=1 d=1 t=8704
shi yue ge ming 	十月革命	c=1 d=1 t=4385
shi zai 	實在	c=1 d=1 t=8416
shi zai 	是在	c=4 d=1.04307 t=8415
shi zhe 	試着	c=1 d=0.0620385 t=11992
shi zhe ge 	是這個	c=8 d=1.1545 t=8469
shi zhe ge ba 	是這個吧	c=1 d=1 t=1518
shi zhe yang 	是這樣	c=2 d=0.00183156 t=11992
shi zhen de 	是真的	c=1 d=1 t=5710
shi zhong wu 	是中午	c=1 d=1 t=7750
shi zi 	十字	c=0 d=0.1 t=2095
shi zong ren kou 	失蹤人口	c=1 d=1 t=3281
shi zuo tian 	是昨天	c=1 d=1 t=10438
shou ba shou 	手把手	c=1 d=1 t=7853
shou cang 	收藏	c=0 d=0.1 t=6988
shou cang de 	收藏的	c=1 d=1 t=6989
shou ce 	手冊	c=1 d=1 t=1701
shou dao 	收到	c=1 d=0.749161 t=7028
shou dao de bu 	收到得不	c=1 d=1 t=752
shou dao le 	收到了	c=1 d=1 t=7029
shou dong 	手動	c=1 d=1 t=6047
shou dong 	收冬	c=1 d=1 t=6046
shou fa 	手法	c=1 d=1 t=10297
shou fa 	首發	c=1 d=1 t=10298
shou fei 	收費	c=1 d=0.357007 t=11992
shou fu 	首付	c=1 d=1 t=758
shou ji 	手機	c=2 d=0.0812682 t=11992
shou le 	瘦了	c=1 d=1 t=3298
shou quan 	授權	c=2 d=1.99005 t=9703
shou shi 	收拾	c=2 d=0.984056 t=11992
shou shi ni 	收拾你	c=1 d=1 t=4946
shou shi ta 	收拾他	c=1 d=1 t=10759
shou shi ta 	收拾她	c=1 d=0.701173 t=11992
shou shi xia 	收拾下	c=1 d=1 t=4544
shou ye 	首頁	c=1 d=1 t=2236
shu 	數	c=0 d=0.1 t=11388
shu 	術	c=0 d=0.015259 t=11992
shu 	輸	c=1 d=1 t=1570
shu biao 	鼠標	c=2 d=1 t=9522
shu chu 	輸出	c=1 d=1 t=1789
shu de 	輸得	c=1 d=1 t=11633
shu fu 	舒服	c=1 d=1 t=11896
shu fu de hen 	舒服得很	c=1 d=1 t=5639
shu fu de yi pi 	舒服的一匹	c=1 d=1 t=8513
shu huan 	舒緩	c=1 d=0.0308074 t=11992
shu ji 	書記	c=1 d=1 t=5607
shu ju 	數據	c=14 d=1.14371 t=11594
shu ju ku 	數據庫	c=13 d=0.0567862 t=11992
shu le 	輸了	c=1 d=1 t=8616
shu le ni 	輸了你	c=1 d=1 t=1433
shu liang 	數量	c=6 d=1 t=6561
shu qian 	书签	c=1 d=1 t=11418
shu ru 	輸入	c=1 d=1 t=4281
shu ru fa 	輸入法	c=17 d=1.87238 t=11992
shu xing 	屬性	c=1 d=0.937067 t=11992
shu yang 	书洋	c=1 d=1 t=11327
shu yang 	沭陽	c=1 d=1 t=5934
shu zhi 	數值	c=1 d=1 t=1057
shu zu 	數組	c=2 d=1.67032 t=2357
shua 	刷	c=10 d=3.30741 t=11546
shua dao 	刷到	c=1 d=1 t=11533
shua xia 	刷下	c=2 d=1.00255 t=9175
shua xin 	刷新	c=3 d=1 t=6886
shua ya 	刷牙	c=1 d=0.0357931 t=11992
shua yi xia 	刷一下	c=3 d=1.23075 t=11527
shuang pin 	雙拼	c=1 d=1 t=6975
shui 	水	c=0 d=0.1 t=579
shui 	睡	c=3 d=1.84789 t=8938
shui guo 	水果	c=2 d=1.72979 t=10927
shui jiao 	睡覺	c=1 d=0.00175974 t=11992
shui le 	睡了	c=2 d=1.00001 t=11959
shui sha fa 	睡沙發	c=1 d=1 t=1345
shui zhao 	睡着	c=0 d=0.1 t=3292
shun bian 	順便	c=2 d=1.63445 t=2902
shun li 	順利	c=1 d=1 t=9380
shun xu 	順序	c=1 d=1 t=657
shuo 	說	c=21 d=0.923988 t=11992
shuo bai le 	說白了	c=1 d=1 t=1829
shuo cuo 	說錯	c=0 d=0.1 t=6347
shuo cuo le 	說錯了	c=1 d=1 t=6348
shuo de 	說得	c=7 d=1.00379 t=10305
shuo de shi 	說的是	c=0 d=0.1 t=727
shuo fa 	說法	c=1 d=1 t=7699
shuo ge 	說個	c=1 d=0.0248475 t=11992
shuo hao 	說好	c=0 d=0.1 t=1576
shuo hao de 	說好的	c=1 d=1 t=1577
shuo hua 	說話	c=0 d=0.1 t=10195
shuo le 	說了	c=1 d=1 t=9631
shuo ni 	說你	c=1 d=1 t=3694
shuo shen me 	說什麼	c=1 d=1 t=6502
shuo wan 	說完	c=0 d=0.1 t=10618
shuo wan le de 	說完了的	c=1 d=1 t=6463
shuo wo 	說我	c=1 d=1 t=5074
shuo zou 	說走	c=1 d=1 t=9539
si 	四	c=2 d=0.151887 t=11992
si dian 	四點	c=1 d=1 t=1768
si dian ban 	四點半	c=1 d=1 t=8057
si ge 	四個	c=2 d=1 t=6563
si ji 	四集	c=0 d=0.1 t=6252
si ji dou mei guo 	四集都沒過	c=1 d=1 t=6253
si kao 	思考	c=1 d=1 t=6096
si te qi 	思特齊	c=2 d=1 t=10830
si tian 	四天	c=1 d=1 t=3802
si yue fen 	四月份	c=1 d=1 t=9903
song 	宋	c=4 d=1.1039 t=10774
song de 	送得	c=1 d=1 t=11746
song ge 	送个	c=0 d=0.1 t=11748
song yang 	宋陽	c=1 d=1 t=9529
sou dao 	搜到	c=0 d=0.1 t=5735
sou dao le 	搜到了	c=1 d=1 t=2874
sou gou 	搜狗	c=9 d=1.97004 t=11991
sou suo 	搜索	c=3 d=1.00001 t=11914
su du 	速度	c=10 d=1 t=11823
su du 	速讀	c=1 d=1 t=1514
su du dian 	速度點	c=1 d=1 t=1443
su lian 	蘇聯	c=1 d=1 t=4389
su liao 	塑料	c=1 d=0.0126513 t=11992
su qian 	宿遷	c=0 d=0.1 t=2926
suan 	算	c=2 d=1.01145 t=9202
suan le 	算了	c=4 d=0.0175974 t=11992
sui bian 	隨便	c=3 d=1.00001 t=10924
sui bian fang 	隨便放	c=1 d=1 t=9096
sui bian zhao 	隨便找	c=1 d=1 t=1651
sui dao 	隧道	c=8 d=5.01529 t=4172
sui dao 	隨到	c=1 d=1 t=2973
sui ran 	雖然	c=1 d=1 t=2172
sui shi 	隨時	c=1 d=1 t=6115
sun 	孫	c=3 d=1 t=11972
sun huai 	損壞	c=0 d=0.0256661 t=11992
suo duan 	縮短	c=1 d=1 t=4526
suo yi 	所以	c=9 d=1.00053 t=10905
suo yi wo 	所以我	c=1 d=1 t=3484
suo yin 	索引	c=1 d=1 t=11042
suo you 	所有	c=1 d=1 t=4919
suo you de 	所有的	c=1 d=1 t=7024
suo you ren 	所有人	c=1 d=1 t=5253
ta 	他	c=21 d=2.99471 t=11227
ta 	她	c=8 d=1.64145 t=11992
ta ba ming zi 	他吧名字	c=1 d=1 t=10035
ta bu 	他不	c=0 d=0.1 t=7412
ta bu shi 	她不是	c=1 d=1 t=3566
ta bu zai 	他不在	c=1 d=1 t=7413
ta de 	他的	c=2 d=1.956 t=10015
ta de 	她的	c=2 d=0.416862 t=11992
ta dou 	他都	c=1 d=1 t=11503
ta gei wo shuo 	他給我說	c=1 d=1 t=10311
ta gen 	他跟	c=2 d=1 t=7554
ta jin tian 	他今天	c=1 d=1 t=5569
ta jiu 	他就	c=1 d=0.1 t=10154
ta jiu zai shuo 	他就在說	c=1 d=1 t=10155
ta kai shi 	他開始	c=1 d=1 t=10849
ta ke yi hui qu 	她可以回去	c=1 d=1 t=3385
ta men 	他們	c=7 d=0.95404 t=11992
ta men 	她們	c=5 d=0.839485 t=11992
ta na bian 	他那邊	c=3 d=0.204107 t=10683
ta na ge 	他那個	c=1 d=1 t=8956
ta na ge 	她那個	c=3 d=1.03321 t=6787
ta nan peng you 	她男朋友	c=3 d=1.29755 t=11992
ta qu le de 	他去了的	c=1 d=1 t=10826
ta shi 	她是	c=0 d=0.1 t=1039
ta shi wai di 	她是外地	c=1 d=1 t=1040
ta shuo 	他說	c=4 d=1 t=11718
ta shuo 	她說	c=1 d=1 t=4689
ta yao 	他要	c=1 d=1 t=5839
ta you 	他有	c=0 d=0.1 t=7386
ta you quan li 	他有權利	c=1 d=1 t=7387
ta zai 	他在	c=2 d=1.17049 t=6928
ta zai nong 	他在弄	c=1 d=1 t=10308
ta zai wen wo 	他在問我	c=2 d=1.04807 t=6239
ta zen me 	他怎麼	c=1 d=1 t=5886
ta zhe ge 	他這個	c=2 d=1.00075 t=5637
ta zhi 	他只	c=0 d=0.1 t=5803
ta zhi shi 	他只是	c=1 d=1 t=5804
ta zhun bei 	他準備	c=1 d=1 t=10367
ta zi ji 	他自己	c=1 d=1 t=6530
ta zi ji 	她自己	c=1 d=0.121238 t=11992
ta zuo de 	他做的	c=1 d=1 t=9991
ta zuo tian 	他昨天	c=1 d=1 t=7948
tai 	太	c=2 d=0.0469718 t=11992
tai 	臺	c=1 d=0.584325 t=11488
tai da 	太大	c=0 d=0.1 t=5979
tai di 	太低	c=0 d=0.1 t=5383
tai du 	態度	c=1 d=1 t=5455
tai duo 	太多	c=1 d=0.0845849 t=11992
tai duo le 	太多了	c=2 d=0.191431 t=11992
tai fei jin 	太費勁	c=1 d=1 t=9969
tai gao 	太高	c=1 d=1 t=2901
tai gui 	太貴	c=2 d=1.99523 t=11246
tai gui le 	太貴了	c=1 d=1 t=10868
tai guo lai 	擡過來	c=1 d=1 t=9039
tai keng 	太坑	c=1 d=1 t=8804
tai kua zhang 	太誇張	c=1 d=1 t=754
tai lang fei le 	太浪費了	c=1 d=1 t=4935
tai lei 	太累	c=1 d=1 t=9971
tai nan 	太難	c=2 d=0.1 t=9016
tai shi 	台式	c=1 d=0.017163 t=11992
tai shu fu 	太舒服	c=2 d=1.96561 t=11887
tai tuo la le 	太托拉了	c=1 d=0.0381969 t=11992
tai wan 	台灣	c=1 d=1 t=4383
tai wan 	太晚	c=1 d=1 t=8927
tai wan le 	太晚了	c=1 d=0.57695 t=11992
tai xiao le 	太小了	c=1 d=1 t=11291
tai xing fu 	太幸福	c=1 d=0.433874 t=11992
tai yang 	太陽	c=1 d=1 t=921
tai yue 	泰岳	c=1 d=1 t=11567
tail 	tail	c=1 d=1 t=2872
tang xia 	躺下	c=1 d=1 t=9293
tang zhe 	躺着	c=1 d=1 t=9432
tao 	桃	c=0 d=0.0245367 t=11992
tao 	逃	c=0 d=0.1 t=2033
tao bi 	逃避	c=0 d=0.1 t=6144
tao bu tuo 	逃不脫	c=1 d=1 t=2034
tao can 	套餐	c=1 d=1 t=11250
tao lu 	套路	c=1 d=0.119433 t=11992
tao lun 	討論	c=2 d=1 t=11753
te lang pu 	特朗普	c=1 d=1 t=4439
teng xun 	騰訊	c=1 d=1 t=669
ti 	提	c=1 d=0.1 t=9889
ti 	題	c=1 d=0.204874 t=5917
ti chu 	剔除	c=1 d=1 t=4497
ti huan 	替換	c=6 d=3.63824 t=9276
ti jiao 	提交	c=45 d=1.0287 t=11741
ti le 	提了	c=0 d=0.1 t=10162
ti le yi xia 	提了一下	c=1 d=1 t=10163
ti qian 	提前	c=1 d=1 t=9358
ti qu 	提取	c=0 d=0.1 t=4214
ti qu guo lai 	提取過來	c=1 d=1 t=4215
ti shi 	提示	c=8 d=1.00009 t=8601
ti xi 	體系	c=0 d=0.00325493 t=11992
ti xi fen ji 	體系分級	c=1 d=0.0327124 t=11992
ti xu qiu 	提需求	c=1 d=1 t=9890
ti yi 	提議	c=1 d=1 t=6006
tian 	填	c=1 d=0.76034 t=8333
tian 	天	c=2 d=0.276651 t=11992
tian bao xiao 	填報銷	c=1 d=1 t=8334
tian dao 	天道	c=1 d=1 t=4431
tian di 	天地	c=1 d=1 t=2091
tian jia 	添加	c=7 d=1.43387 t=7829
tian le 	添了	c=0 d=0.1 t=8151
tian qi 	天氣	c=5 d=0.599652 t=11992
tian qi hao 	天气好	c=1 d=1 t=11322
tian qi re 	天氣熱	c=1 d=1 t=10936
tian ran qi 	天然氣	c=1 d=1 t=2189
tian ri bao 	填日報	c=1 d=1 t=570
tian tian 	天天	c=1 d=0.299692 t=11992
tian tian qiang diao 	天天強調	c=1 d=1 t=10242
tiao 	條	c=1 d=0.101695 t=6033
tiao 	調	c=3 d=2.64992 t=11337
tiao 	跳	c=3 d=1.21949 t=10859
tiao ban 	跳板	c=0 d=0.1 t=3977
tiao ban ji 	跳板機	c=3 d=2.26904 t=4072
tiao bu guo qu 	跳不過去	c=1 d=1 t=4074
tiao cao 	跳槽	c=1 d=1 t=4456
tiao jian 	條件	c=5 d=1 t=11549
tiao mu 	条目	c=0 d=0.1 t=11388
tiao mu shu 	条目數	c=1 d=1 t=11389
tiao sheng 	跳繩	c=1 d=1 t=8135
tiao shi 	調試	c=1 d=1 t=470
tiao wan 	調完	c=2 d=1.37719 t=6741
tiao xin 	調薪	c=1 d=1 t=9907
tiao zheng 	調整	c=2 d=1.96079 t=2906
tie 	鐵	c=1 d=0.60653 t=11992
tie guo 	鐵鍋	c=2 d=1.27865 t=11992
tie zi 	鐵子	c=1 d=0.0257325 t=11992
ting 	停	c=0 d=0.1 t=3884
ting 	挺	c=1 d=1 t=10063
ting 	聽	c=1 d=1 t=11078
ting an pai 	聽安排	c=1 d=1 t=814
ting dao 	聽到	c=0 d=0.1 t=8323
ting dao de 	聽到的	c=1 d=1 t=8324
ting hao 	挺好	c=1 d=0.100058 t=7033
ting hao de ma 	挺好的嗎	c=1 d=1 t=7034
ting liu zai 	停留在	c=1 d=1 t=5993
ting shuo 	聽說	c=1 d=1 t=7120
ting ta 	聽他	c=0 d=0.1 t=10831
ting zai 	停在	c=1 d=0.268475 t=11992
tong 	通	c=0 d=0.1 t=2114
tong bu 	同步	c=6 d=0.909373 t=11992
tong bu zhuang tai 	同步狀態	c=1 d=1 t=11136
tong guo 	通過	c=8 d=3.8271 t=10048
tong guo hou 	通過後	c=1 d=1 t=591
tong kuai 	痛快	c=1 d=0.351691 t=11992
tong shi 	同事	c=9 d=1.00788 t=8315
tong xue 	同學	c=1 d=1 t=5553
tong yi 	統一	c=0 d=0.1 t=4939
tong yi wang guan 	統一網管	c=7 d=4.40484 t=7528
tong zhi 	通志	c=0 d=0.1 t=6237
tong zhi mei 	通志沒	c=1 d=1 t=6238
tou 	投	c=2 d=1 t=11876
tou 	頭	c=0 d=0.1 t=10565
tou tiao 	頭條	c=2 d=1.02282 t=1334
tou tong 	頭痛	c=1 d=1 t=6755
tou tou 	偷偷	c=3 d=1.00002 t=6984
tou xiang 	頭像	c=2 d=1 t=11990
tou xiang ke yi 	頭像可以	c=1 d=1 t=1186
tu 	圖	c=3 d=1.02918 t=11207
tu 	土	c=0 d=0.1 t=3774
tu biao 	圖標	c=1 d=1 t=9585
tu pian 	圖片	c=4 d=2.24916 t=4611
tu ran 	突然	c=2 d=1.9264 t=4396
tu ran jiu ke yi le 	突然就可以了	c=1 d=1 t=4369
tu sheng 	土生	c=0 d=0.1 t=3774
